time,equity,cash,unrealized_pnl
2025-08-11T19:06:28Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:28Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:28Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:28Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:28Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:28Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:30Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:30Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:30Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:30Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:30Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:30Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:32Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:32Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:32Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:32Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:32Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:32Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:34Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:34Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:34Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:34Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:34Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:34Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:36Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:36Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:36Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:36Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:36Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:36Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:38Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:38Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:38Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:38Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:38Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:38Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:40Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:40Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:40Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:40Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:40Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:40Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:42Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:42Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:42Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:42Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:42Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:42Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:44Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:44Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:44Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:44Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:44Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:44Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:46Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:46Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:46Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:46Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:46Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:46Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:48Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:48Z,1000.00000000,1000.00000000,0.00000000
2025-08-11T19:06:48Z,1000.00000000,1000.00000000,0.00000000
